"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"5","10","20","16","55","0.05","20","12","0.81","0.19","3.4000000000000004","28","0.7000000000000001","14","true","4","160","105","10","796.4554706256198","10","743.6868382386223"
"5","20","20","13","470","0.36","20","8","1","0.1","5.4","33","6","10","true","4","310","490","10","665.0752663641417","10","712.5884452158732"
"5","290","20","16","200","0.9500000000000001","20","4","0.8","0.07","10","13","3.9000000000000004","31","false","5","200","110","10","626.5918141396235","10","688.9137316921053"
"5","4700","20","13","450","0.08","20","6","0.97","0.08","5.1000000000000005","56","3","23","false","1","150","40","10","595.1111545891832","10","780.034149627672"
"6","10","20","2","180","0.56","20","14","0.18","0.05","9.3","4","4.2","10","true","1","200","265","10","766.8354492124429","10","764.0974591962774"
"6","20","20","8","335","0.08","20","19","0.86","0.02","7.6000000000000005","35","1.6","33","true","2","300","10","10","713.5272034055109","10","724.3477379290591"
"6","50","20","6","465","0.86","20","16","0.26","0.07","2.1","55","0.9","22","true","1","310","435","10","708.078769290629","10","743.9738221374525"
"6","100","20","19","215","0.17","20","14","0.51","0.09","7.4","20","3.9000000000000004","39","false","3","270","470","10","700.1524939896519","10","819.4779134033782"
"6","130","20","17","300","0.34","20","1","0.65","0.06","9","57","3.7","20","false","3","120","355","10","686.7463639742325","10","739.8976821504509"
"6","190","20","13","280","0.22","20","6","0.18","0.1","7.6000000000000005","51","0","10","false","3","240","455","10","623.5330146345707","10","715.1609907893485"
"6","1320","20","14","450","0.7000000000000001","20","15","0.9400000000000001","0.02","7.6000000000000005","35","1.6","33","true","3","290","10","10","597.0838809688717","10","739.7080669078885"
"7","10","20","13","95","0.17","20","2","0.74","0.18","4.7","48","0.30000000000000004","20","true","1","370","25","10","766.4369757443411","10","832.0695619921802"
"7","20","20","6","225","0.81","20","3","0.46","0.19","8.3","27","1.2000000000000002","7","true","3","160","455","10","752.2752863141018","10","766.9310441282438"
"7","50","20","2","270","0.05","20","1","0.9","0.18","3.7","31","2.2","11","false","4","110","145","10","669.1081442787329","10","732.3279488088301"
"7","730","20","4","225","0.29","20","2","0.75","0.01","2.9000000000000004","38","5.4","31","false","4","230","75","10","656.1821993151082","10","771.0568653101825"
"7","1230","20","17","355","0.63","20","6","0.33","0.07","2.5","22","2.5","12","false","2","80","335","10","645.4802075279155","10","794.028817390059"
"7","2500","20","9","150","0.6900000000000001","20","12","0.71","0.18","2.1","21","3.2","36","false","1","290","200","10","641.8118585462414","10","744.2111267820347"
