"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","20","10","470","0.36","20","11","0.19","0.03","8.5","11","2","33","false","2","370","200","788.4067762920245","10","788.4067762920245","754.8157896494619"
"1","20","20","10","365","0.16","20","19","0.24","0.19","8.2","55","0.9","31","false","3","200","440","753.5915131040332","10","753.5915131040332","708.3023129969531"
"1","30","20","9","465","0.15","20","2","0.21","0.08","6","27","4.5","31","false","3","210","130","794.4021191652041","10","753.5915131040332","708.3023129969531"
"1","40","20","3","75","0.76","20","0","0.66","0.13","3.6","44","0.9","42","true","3","390","105","733.5500809077677","10","733.5500809077677","674.9778016371256"
"1","50","20","0","395","0.29","20","10","0.67","0.07","4.4","54","4.5","27","true","5","270","205","799.0583044393213","10","733.5500809077677","674.9778016371256"
"1","60","20","2","465","0.47000000000000003","20","20","0.6","0.18","10","11","3.5","32","true","4","70","30","729.292495761899","10","729.292495761899","746.6149628873014"
"1","70","20","10","330","0.04","20","15","0.34","0.09","4.800000000000001","1","4.800000000000001","3","true","1","140","145","641.9615715867743","10","641.9615715867743","792.5173654902034"
"1","80","20","17","20","0.15","20","4","0.07","0.17","8.3","25","0.1","13","false","5","160","415","710.3460119550672","10","641.9615715867743","792.5173654902034"
"1","90","20","9","110","0.06","20","8","0.89","0.19","5.4","59","3.4000000000000004","22","true","2","390","475","738.3690336769788","10","641.9615715867743","792.5173654902034"
"1","100","20","15","160","0.65","20","15","0.93","0.07","5.9","41","1.7000000000000002","21","true","4","0","200","802.4471911543308","10","641.9615715867743","792.5173654902034"
"1","110","20","5","150","0.6","20","8","0.24","0","5.800000000000001","28","4.9","39","true","2","270","255","732.1858656772805","10","641.9615715867743","792.5173654902034"
"1","120","20","8","95","0.45","20","14","0.11","0.09","10","28","5","45","false","3","60","405","818.805193485787","10","641.9615715867743","792.5173654902034"
"1","130","20","18","360","0.31","20","4","0.49","0.05","2.2","33","0.7000000000000001","17","true","3","50","320","692.0341385356014","10","641.9615715867743","792.5173654902034"
