"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12130","20","13","305","0.41000000000000003","100","19","0.8300000000000001","0.11","5.800000000000001","2","5","45","false","3","180","450","10","607.825710436751","10","806.4695044491464"
"2","12050","20","10","450","0.42","100","13","1","0.02","7.4","23","6.2","6","true","1","230","385","10","634.5728162725195","10","778.4983340259536"
"3","12040","20","15","185","0.22","100","4","0.56","0.15","3.4000000000000004","29","0.5","2","true","4","240","10","10","616.0009156529488","10","802.1486312858843"
"4","12050","20","8","455","0.8200000000000001","100","7","0.32","0.03","2.2","43","6","44","false","4","200","135","10","611.4524403028095","10","692.0494139307734"
"5","12140","20","4","375","0.26","100","1","0.34","0.05","8.9","38","4.5","15","false","4","270","370","10","605.7529616116174","10","771.8701209747844"
"6","12380","20","12","75","0.07","100","15","0.17","0","9.4","58","1.2000000000000002","21","true","3","20","270","10","609.5160172628973","10","691.8298232732299"
"7","12120","20","10","20","0.63","100","17","0.47000000000000003","0.08","2.5","10","3.2","20","false","4","390","165","10","602.0156598890505","10","739.1832773546897"
"8","12060","20","19","335","0.04","100","4","0.23","0.1","2.8","20","5.6000000000000005","13","true","1","360","170","10","614.4852377413371","10","700.0355810700769"
"9","12210","20","15","415","0.59","100","6","0.17","0.02","5.9","44","2.9000000000000004","21","true","4","70","340","10","607.3491542014497","10","811.1112268225891"
"10","12070","20","15","280","0.62","100","14","0.11","0.01","5.800000000000001","22","2","38","true","3","70","190","10","591.8746965883723","10","707.562008831809"
