"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12130","20","13","305","0.41000000000000003","60","19","0.8300000000000001","0.11","5.800000000000001","2","5","45","false","3","180","450","10","607.825710436751","10","806.4695044491464"
"2","12050","20","16","400","0.34","60","11","0.54","0.12","1","10","6.1000000000000005","30","false","1","150","470","10","621.5831889857033","10","736.4201962146499"
"3","12090","20","8","310","0.37","60","17","0.05","0.19","6","33","4.9","41","true","3","310","190","10","619.2077047487192","10","713.3066460040178"
"4","12040","20","11","470","0.64","60","13","0.38","0.05","6.4","41","6.2","44","true","1","100","160","10","636.7293237827545","10","727.7826280706192"
"5","12130","20","19","60","0.49","60","19","0.08","0.1","8.4","22","5.2","41","false","3","250","155","10","610.5327813647834","10","766.3407721108914"
"6","12010","20","9","225","0.7000000000000001","60","15","0.9400000000000001","0.02","5.7","52","1.6","1","true","4","180","265","10","607.7844094864967","10","795.0604108768467"
"7","12100","20","8","460","0.38","60","10","0.71","0.12","2.3","6","4.5","0","false","1","290","180","10","622.1431390677684","10","813.3149212541045"
"8","12070","20","8","45","0.4","60","16","0.04","0.05","4.7","10","2.3000000000000003","31","false","1","100","170","10","596.5788110164654","10","782.2803467889046"
"9","12200","20","15","415","0.59","60","6","0.17","0.02","5.9","44","2.9000000000000004","21","true","4","70","340","10","607.3491542014497","10","811.1112268225891"
"10","12080","20","7","55","0.56","60","14","0.11","0","1.7000000000000002","2","4.5","45","true","3","200","245","10","606.9467555386315","10","720.0167636989133"
