"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12130","20","13","305","0.41000000000000003","20","19","0.8300000000000001","0.11","5.800000000000001","2","5","45","false","3","180","450","10","607.825710436751","10","806.4695044491464"
"2","12040","20","19","120","0.75","20","13","0.01","0.05","2","23","1.7000000000000002","23","false","5","150","165","10","590.4888686007947","10","745.7430678142564"
"3","12040","20","15","185","0.22","20","4","0.56","0.15","3.4000000000000004","29","0.5","2","true","4","240","10","10","616.0009156529488","10","802.1486312858843"
"4","12040","20","8","455","0.8200000000000001","20","7","0.32","0.03","2.2","43","6","44","false","4","200","135","10","621.5724328131466","10","724.4494139307734"
"5","12100","20","13","450","0.08","20","6","0.97","0.08","5.1000000000000005","56","3","23","false","1","150","40","10","595.1111545891832","10","780.034149627672"
"6","12030","20","14","450","0.7000000000000001","20","15","0.9400000000000001","0.02","7.6000000000000005","35","1.6","33","true","3","290","10","10","597.0838809688717","10","739.7080669078885"
"7","12120","20","13","450","0.34","20","20","0.08","0.17","9.4","13","0.6000000000000001","31","false","4","370","415","10","624.6499826641308","10","714.4391376014872"
"8","12130","20","2","230","0.11","20","2","0.06","0.09","8.8","50","4","14","true","4","230","15","10","614.4175672049621","10","724.2119555718532"
"9","12210","20","15","415","0.59","20","6","0.17","0.02","5.9","44","2.9000000000000004","21","true","4","70","340","10","607.3491542014497","10","811.1112268225891"
"10","12080","20","6","425","0.74","20","17","0.09","0.07","3","3","3","38","true","3","260","235","10","611.4749023232167","10","790.422763473926"
