"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","12130","20","13","305","0.41000000000000003","40","19","0.8300000000000001","0.11","5.800000000000001","2","5","45","false","3","180","450","10","607.825710436751","10","806.4695044491464"
"2","12040","20","13","300","0.67","40","10","0.11","0.02","3","55","5","16","false","2","390","220","10","626.0642543257303","10","791.6278810551572"
"3","12000","20","8","310","0.37","40","17","0.05","0.19","6","33","4.9","41","true","3","310","190","10","619.2077047487192","10","713.3066460040178"
"4","12040","20","11","450","0.8200000000000001","40","3","0.03","0.01","6.2","10","1.5","21","true","3","100","50","10","571.5402378313286","10","815.6974301296195"
"5","12090","20","13","245","0.9","40","8","0.12","0.19","1.8","12","1.7000000000000002","42","false","4","80","140","10","610.9673455850265","10","808.341752414825"
"6","12030","20","15","260","0.32","40","4","0.65","0.15","2","0","1.5","21","true","3","110","270","10","598.7280837331343","10","790.2826552389607"
"7","12130","20","8","225","0.05","40","7","0.3","0","5.7","17","1","0","false","1","210","340","10","627.9704261248273","10","662.2700556100351"
"8","12090","20","8","410","0.75","40","11","0.49","0.03","2.3","14","5.300000000000001","14","true","1","360","90","10","576.1585028461835","10","724.3477679054943"
"9","12200","20","15","415","0.59","40","6","0.17","0.02","5.9","44","2.9000000000000004","21","true","4","70","340","10","607.3491542014497","10","811.1112268225891"
"10","12130","20","1","470","0.42","40","19","1","0","7.1000000000000005","43","4.1000000000000005","40","false","1","260","180","10","605.9681863632215","10","798.2876043800304"
