"BehaviorSpace results (NetLogo 5.2.1)"
"boxes_bots_FinalCode.nlogo"
"total-energy"
"07/26/2016 17:25:18:227 +0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-41","41","-22","22"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"loaded-step-length","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"vision-range","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5"
"vision-angle","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25","25"
"minimum-energy","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40","40"
"minimum-charging-energy","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80","80"
"grab-range","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5"
"[steps]","7407","12229","11304","9911","11962","6311","10495","7954","8512","9304","7664","7473","6349","6797","11644","8645","7769","9485","9767","10617","9013","8123","11752","7391","8848","8857","7918","7474","6991","8345","7665","12742","6182","7846","10058","9080","8141","7814","7459","8894","9434","8592","9137","9030","7608","11512","8150","8093","9233","7793","7514","8171","7408","9204","7010","11497","8071","9963","5803","9810","7281","7985","6199","7740","8477","7435","8304","6056","7424","8605","9331","10685","6975","11022","8835","7372","6058","10918","7426","6718","10879","6877","8975","6232","11415","9284","7562","6286","8084","7853","7674","9801","7427","9260","8790","10201","6948","7268","6467","9729"

"[initial & final values]","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy","total-energy"
,"756","591","654","677","575","943","512","945","938","719","976","573","848","502","694","676","861","833","633","605","617","758","862","509","657","869","580","944","880","620","940","625","749","546","718","852","756","513","626","800","997","923","695","843","873","734","843","691","743","981","638","572","945","567","956","905","908","561","683","743","688","792","679","694","653","540","991","726","979","697","545","506","899","590","704","965","764","593","671","777","500","526","623","586","580","568","731","966","591","940","579","758","981","808","633","571","825","949","604","947"
