"BehaviorSpace results (NetLogo 5.2.1)"
"boxes_bots_FinalCode.nlogo"
"total-time"
"07/26/2016 17:26:08:652 +0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-41","41","-22","22"
"[run number]","number-of-boxes","charging-area-radius","target-area-radius","transfer-energy-amount","number-of-bots","show-energy?","maximum-charging-distance","unloaded-step-length","max-wiggle-angle","energy-decrement","loaded-step-length","vision-range","vision-angle","minimum-energy","minimum-charging-energy","grab-range","[step]","total-time"
"55","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10825","10825"
"59","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7257","7257"
"60","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8277","8277"
"58","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","10331","10331"
"61","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7383","7383"
"62","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6984","6984"
"63","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8066","8066"
"65","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7036","7036"
"64","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9179","9179"
"66","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7553","7553"
"67","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7024","7024"
"68","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7585","7585"
"69","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8460","8460"
"70","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9160","9160"
"71","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","9287","9287"
"72","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6802","6802"
"75","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7982","7982"
"74","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7969","7969"
"73","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11378","11378"
"76","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8538","8538"
"77","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7917","7917"
"78","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","8208","8208"
"80","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","7926","7926"
"81","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","5884","5884"
"79","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","11803","11803"
"82","60","16","10","150","20","false","1","0.19","18","0.49","0.05","6.5","25","40","80","3.5","6827","6827"
