"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"6","200","13","18","345","0.62","58","17","0.71","0.08","2.4000000000000004","21","6","28","false","1","370","445","10","674.3674546850675","10","716.3665472004444"
"6","350","21","4","95","0.77","69","14","0.19","0.05","6.1000000000000005","58","6.2","31","true","3","50","255","10","664.4339685313291","10","740.0580545687728"
"6","760","26","2","235","0.86","12","2","0.24","0","8.4","41","5.9","38","true","3","230","95","10","619.8509606198706","10","782.2364221205924"
"6","2470","72","7","5","0.44","98","19","0.07","0.05","2.4000000000000004","10","5.4","31","true","4","140","225","10","587.8251195213351","10","740.331388717891"
"6","12070","96","0","490","0.41000000000000003","44","19","0.84","0.1","5.4","35","6.5","38","false","5","180","415","10","572.9","10","741.0811710566879"
"7","10","78","10","85","0.86","75","19","0.37","0.16","7.9","20","5.2","21","true","4","240","235","10","813.9454878878229","10","718.9276865101849"
"7","20","82","3","230","0.51","74","11","0.77","0.07","2.6","30","1.6","38","false","4","300","405","10","735.8935129476731","10","752.338533778953"
"7","50","88","11","215","0.63","40","11","0.27","0.02","3.8000000000000003","30","3.5","38","true","5","350","95","10","699.5341596783937","10","846.6669327835773"
"7","140","19","14","245","0.76","5","2","0.87","0.15","6.9","31","4.4","36","true","1","270","200","10","644.8049802355222","10","667.6393803903253"
"7","390","16","19","140","0.12","12","15","0.33","0.02","7.5","49","0.4","29","true","4","70","350","10","625.8400543724294","10","778.9534960899293"
"7","640","76","8","465","0.97","26","10","0.32","0.18","6.800000000000001","4","5.300000000000001","31","true","4","30","290","10","625.750223233017","10","828.4610832210885"
"7","2110","32","7","25","0.6","32","2","0.15","0.03","7.5","51","4.6000000000000005","27","true","4","180","60","10","621.6845288341125","10","879.4012689330826"
"7","2230","22","15","435","0.36","17","2","0.72","0.15","6.9","16","2","35","true","1","300","195","10","621.4553822707464","10","709.3451832354131"
"7","7030","45","16","25","0.86","27","17","0.35000000000000003","0.12","4.4","12","4.6000000000000005","26","true","4","210","480","10","612.2891744155203","10","777.3007661442512"
"7","7340","20","16","180","0.54","81","17","0.32","0.13","5.2","54","5.1000000000000005","39","true","5","30","95","10","605.7138236984514","10","705.172580787992"
"8","10","80","13","355","0.55","69","13","0.49","0.07","6.2","42","5.2","44","false","4","100","90","10","691.7298294580829","10","765.3568528887395"
"8","40","24","13","130","0.89","38","19","0.41000000000000003","0.19","3.8000000000000003","54","1.9000000000000001","8","false","1","40","155","10","659.6008689682175","10","704.3565580426095"
"8","270","22","11","160","0.47000000000000003","12","17","0.97","0","7.6000000000000005","40","5.4","7","true","1","20","195","10","643.5565424484631","10","743.5191151041388"
"8","770","83","10","465","0.86","47","15","0.36","0.05","6.9","17","2.3000000000000003","3","true","1","270","135","10","641.5476235451179","10","786.9544737788323"
"8","2000","94","14","0","0.28","70","11","0.07","0.18","6.4","22","0.7000000000000001","31","false","2","260","335","10","638.55763828196","10","704.3678025284833"
"8","7040","40","15","25","0.17","99","10","0","0.18","1.7000000000000002","40","3.6","10","false","2","230","125","10","628.6075336555562","10","758.5355221625381"
"8","8150","89","14","15","0.84","76","15","0.27","0.06","9.6","43","3.9000000000000004","9","false","1","210","145","10","628.0763419132909","10","687.0803372057944"
"8","9100","97","11","160","0.46","99","0","0.37","0.16","8.600000000000001","9","0.7000000000000001","3","false","1","210","305","10","624.7375418788952","10","867.9500624031531"
"9","10","44","19","100","0.48","96","7","0.51","0.02","2.9000000000000004","4","2.3000000000000003","26","true","5","180","340","10","800.9655931684117","10","743.5356148725682"
