"search-number","evaluation","number-of-bots*","charging-area-radius*","minimum-energy*","energy-decrement*","number-of-boxes*","target-area-radius*","unloaded-step-length*","loaded-step-length*","vision-range*","vision-angle*","grab-range*","max-wiggle-angle*","show-energy?*","maximum-charging-distance*","minimum-charging-energy*","transfer-energy-amount*","fitness","num-replicates","best-fitness-so-far"
"1","440","85","6","70","0.71","69","13","0.58","0.07","2.3","18","1.6","0","false","5","170","185","722.7874842695285","10","693.5796382497307"
"1","450","47","10","400","0.07","66","2","0.35000000000000003","0.02","5.7","49","1.8","42","false","1","210","435","726.8703500583022","10","693.5796382497307"
"1","460","99","16","475","0.13","97","19","0.68","0.09","3.9000000000000004","37","2.1","15","true","4","220","80","770.9339925470653","10","693.5796382497307"
"1","470","1","6","210","0.52","12","19","0.77","0.13","1.2","54","0.7000000000000001","30","true","3","310","90","812.2508525463701","10","693.5796382497307"
"1","480","3","8","405","0.9400000000000001","69","14","0.5","0.17","9.6","23","3.9000000000000004","3","true","2","160","205","693.5700330577749","10","693.5700330577749"
"1","490","78","2","65","0.48","80","17","0.59","0.11","7.1000000000000005","0","0.30000000000000004","9","true","1","370","100","727.7121408322723","10","693.5700330577749"
"1","500","40","11","320","0","8","15","0.8200000000000001","0.07","1.4","51","2.4000000000000004","8","true","1","310","45","801.7816711366963","10","693.5700330577749"
"2","10","65","19","410","0.23","33","19","0.96","0.11","4.300000000000001","23","3.3000000000000003","40","true","2","120","295","729.7201060390533","10","729.7201060390533"
"2","20","19","19","400","0.72","22","6","0.15","0.09","6.7","36","0.4","29","false","4","340","230","753.7453799059305","10","729.7201060390533"
"2","30","20","4","110","0.02","26","5","0.75","0.08","3.9000000000000004","7","2.2","15","false","2","100","75","776.1162745485374","10","729.7201060390533"
"2","40","40","7","295","0.18","59","15","0.23","0.13","9.6","56","4.2","18","true","4","400","250","683.8874307644488","10","683.8874307644488"
"2","50","52","7","470","0.6","40","18","0.37","0.13","1.8","1","3.3000000000000003","28","false","5","110","145","682.99462419665","10","682.99462419665"
"2","60","44","11","500","0.5","45","11","0.26","0.09","3.1","19","3.8000000000000003","20","true","2","260","420","878.5245667166957","10","682.99462419665"
"2","70","19","10","430","0.64","69","17","0.27","0","4","41","3.1","2","true","2","230","80","664.9066329340324","10","664.9066329340324"
"2","80","96","6","295","0.15","82","6","0.49","0.01","4","34","1.2000000000000002","33","false","3","80","210","787.3468941028948","10","664.9066329340324"
"2","90","90","0","75","0.5700000000000001","5","8","0.19","0.05","5","37","6.300000000000001","41","false","1","370","255","758.4982450066365","10","664.9066329340324"
"2","100","22","6","470","0.64","48","6","0.11","0.15","1.7000000000000002","38","0.1","33","true","4","290","355","747.0682634161424","10","664.9066329340324"
"2","110","55","8","395","0.04","54","8","0","0.04","7.1000000000000005","13","5","37","false","3","340","405","798.0985416103447","10","664.9066329340324"
"2","120","30","9","85","0.5700000000000001","62","0","0.79","0.17","9.700000000000001","42","3.8000000000000003","32","false","2","160","390","834.21978730091","10","664.9066329340324"
"2","130","23","2","240","0.5700000000000001","51","14","0.74","0.18","2.5","46","3.6","0","true","3","230","85","739.3269948384994","10","664.9066329340324"
"2","140","88","4","110","0.34","57","6","0.15","0.02","3.9000000000000004","11","0","7","false","5","70","220","708.3461887200261","10","664.9066329340324"
"2","150","51","12","115","0.55","26","0","0.66","0.17","4.5","28","1.4000000000000001","9","false","5","200","250","742.5283007429136","10","664.9066329340324"
"2","160","49","6","35","0.26","76","15","0.71","0.04","6.4","0","5","23","true","5","160","435","767.2764145793016","10","664.9066329340324"
"2","170","22","16","355","0.9400000000000001","41","11","0.84","0.07","2.2","10","1.6","5","false","3","100","20","780.8517019245749","10","664.9066329340324"
"2","180","8","18","300","0.56","78","17","0.49","0.1","6","49","0.9","35","false","4","210","340","795.7225270508168","10","664.9066329340324"
"2","190","98","4","200","0.41000000000000003","58","19","0.26","0.04","2.5","41","5.300000000000001","15","false","3","250","50","710.505709507219","10","664.9066329340324"
"2","200","30","17","115","0.11","3","19","0.18","0.18","3.2","7","1.6","11","false","2","270","485","801.0752060201355","10","664.9066329340324"
"2","210","80","10","330","0.04","40","13","0.76","0.06","4","48","4.6000000000000005","44","false","4","280","300","674.5590816100326","10","664.9066329340324"
"2","220","36","18","95","0.68","87","0","0.49","0.02","3.5","29","0.1","0","false","2","50","345","709.4830659263927","10","664.9066329340324"
"2","230","64","4","5","0.8300000000000001","87","11","0.07","0.1","2.7","41","2.1","28","false","3","40","190","760.1040416775696","10","664.9066329340324"
